aggregated_crossings_id,stream_crossing_id,dam_id,misc_barrier_anthropogenic_id,modelled_crossing_id,crossing_source,pscis_status,crossing_type_code,crossing_subtype_code,modelled_crossing_type_source,barrier_status,pscis_road_name,transport_line_structured_name_1,transport_line_type_description,transport_line_surface_description,ften_forest_file_id,ften_file_type_description,ften_client_number,ften_client_name,ften_life_cycle_status_code,rail_track_name,rail_owner_name,rail_operator_english_name,ogc_proponent,dam_name,dam_owner,wcrp_barrier_type,utm_zone,utm_easting,utm_northing,linear_feature_id,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree,watershed_group_code,dnstr_crossings,dnstr_barriers_anthropogenic,upstr_barriers_anthropogenic,stream_order,stream_magnitude,gradient,accessibility_model_salmon,accessibility_model_steelhead,accessibility_model_wct,observedspp_dnstr,observedspp_upstr,watershed_upstr_ha,total_network_km,total_stream_km,total_lakereservoir_ha,total_wetland_ha,total_slopeclass03_waterbodies_km,total_slopeclass03_km,total_slopeclass05_km,total_slopeclass08_km,total_slopeclass15_km,total_slopeclass22_km,total_slopeclass30_km,total_belowupstrbarriers_network_km,total_belowupstrbarriers_stream_km,total_belowupstrbarriers_lakereservoir_ha,total_belowupstrbarriers_wetland_ha,total_belowupstrbarriers_slopeclass03_waterbodies_km,total_belowupstrbarriers_slopeclass03_km,total_belowupstrbarriers_slopeclass05_km,total_belowupstrbarriers_slopeclass08_km,total_belowupstrbarriers_slopeclass15_km,total_belowupstrbarriers_slopeclass22_km,total_belowupstrbarriers_slopeclass30_km,salmon_network_km,salmon_stream_km,salmon_lakereservoir_ha,salmon_wetland_ha,salmon_slopeclass03_waterbodies_km,salmon_slopeclass03_km,salmon_slopeclass05_km,salmon_slopeclass08_km,salmon_slopeclass15_km,salmon_slopeclass22_km,salmon_slopeclass30_km,salmon_belowupstrbarriers_network_km,salmon_belowupstrbarriers_stream_km,salmon_belowupstrbarriers_lakereservoir_ha,salmon_belowupstrbarriers_wetland_ha,salmon_belowupstrbarriers_slopeclass03_waterbodies_km,salmon_belowupstrbarriers_slopeclass03_km,salmon_belowupstrbarriers_slopeclass05_km,salmon_belowupstrbarriers_slopeclass08_km,salmon_belowupstrbarriers_slopeclass15_km,salmon_belowupstrbarriers_slopeclass22_km,salmon_belowupstrbarriers_slopeclass30_km,steelhead_network_km,steelhead_stream_km,steelhead_lakereservoir_ha,steelhead_wetland_ha,steelhead_slopeclass03_waterbodies_km,steelhead_slopeclass03_km,steelhead_slopeclass05_km,steelhead_slopeclass08_km,steelhead_slopeclass15_km,steelhead_slopeclass22_km,steelhead_slopeclass30_km,steelhead_belowupstrbarriers_network_km,steelhead_belowupstrbarriers_stream_km,steelhead_belowupstrbarriers_lakereservoir_ha,steelhead_belowupstrbarriers_wetland_ha,steelhead_belowupstrbarriers_slopeclass03_waterbodies_km,steelhead_belowupstrbarriers_slopeclass03_km,steelhead_belowupstrbarriers_slopeclass05_km,steelhead_belowupstrbarriers_slopeclass08_km,steelhead_belowupstrbarriers_slopeclass15_km,steelhead_belowupstrbarriers_slopeclass22_km,steelhead_belowupstrbarriers_slopeclass30_km,wct_network_km,wct_stream_km,wct_lakereservoir_ha,wct_wetland_ha,wct_slopeclass03_waterbodies_km,wct_slopeclass03_km,wct_slopeclass05_km,wct_slopeclass08_km,wct_slopeclass15_km,wct_slopeclass22_km,wct_slopeclass30_km,wct_belowupstrbarriers_network_km,wct_belowupstrbarriers_stream_km,wct_belowupstrbarriers_lakereservoir_ha,wct_belowupstrbarriers_wetland_ha,wct_belowupstrbarriers_slopeclass03_waterbodies_km,wct_belowupstrbarriers_slopeclass03_km,wct_belowupstrbarriers_slopeclass05_km,wct_belowupstrbarriers_slopeclass08_km,wct_belowupstrbarriers_slopeclass15_km,wct_belowupstrbarriers_slopeclass22_km,wct_belowupstrbarriers_slopeclass30_km,ch_spawning_km,ch_rearing_km,ch_spawning_belowupstrbarriers_km,ch_rearing_belowupstrbarriers_km,co_spawning_km,co_rearing_km,co_rearing_ha,co_spawning_belowupstrbarriers_km,co_rearing_belowupstrbarriers_km,co_rearing_belowupstrbarriers_ha,sk_spawning_km,sk_rearing_km,sk_rearing_ha,sk_spawning_belowupstrbarriers_km,sk_rearing_belowupstrbarriers_km,sk_rearing_belowupstrbarriers_ha,st_spawning_km,st_rearing_km,st_spawning_belowupstrbarriers_km,st_rearing_belowupstrbarriers_km,all_spawning_km,all_spawning_belowupstrbarriers_km,all_rearing_km,all_rearing_belowupstrbarriers_km,all_spawningrearing_km,all_spawningrearing_belowupstrbarriers_km,dbm_mof_50k_grid,dnstr_barriers_anthropogenic_count,external_crossing_reference,stream_name,road_name,barrier_result_code,downstream_channel_width,habitat_value_code,consultant_name,image_view_url,my_text,my_priority,my_stream_name,my_road_name,modelled_crossing_id_corr,structure,notes,reviewer,misc_point_id,geom,long,lat
1014001414,NA,NA,NA,14001414,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,NA,NA,NA,R10644,Road Permit,00001271,CANADIAN FOREST PRODUCTS LTD.,ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,5987705,607343,139048422,360887227,1554.1965786009303,400.431358.585806.708951.079969.585081,400.431358.585806.708951.079969.585081.216567,MORR,"{1014001163,1014000451,1024715937,1024715935,1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,{1014001775},3,7,0.0459,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,NA,{DV},224.2418,10.65,10.62,0.1,0,0.03,0.04,1.1,0.16,1.88,1.95,2.16,0.73,0.73,0,0,0,0,0.73,0,0,0,0,1.78,1.78,NA,NA,0,0,0.73,0,1.05,0,0,0.73,0.73,0,0,0,0,0.73,0,0,0,0,3.1,3.1,NA,NA,0,0,1.1,0.14,1.79,0.07,0,0.74,0.74,0,0,NA,0,0.73,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.73,0.73,NA,0.73,0.73,NA,0,0,NA,0,0,NA,0,0,0,0,0.73,0.73,0.73,0.73,0.73,0.73,093L.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,airvine,8,"c(911035.353470342, 1003416.57771083)",911035.353470342,1003416.5777108278
1014001139,NA,NA,NA,14001139,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,Canyon Rd,Road resource demographic,loose,R05231,Road Permit,00001271,CANADIAN FOREST PRODUCTS LTD.,ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6014591,631268,139023746,360747937,1252.2299445738208,400.431358.585806.190109.220299,400.431358.585806.190109.220299.160860,MORR,"{1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,"{1014001273,1014001183,1014001606,1014001290,1014000609,1014001184}",2,2,0.0319,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,NA,NA,164.0364,4.28,4.28,NA,NA,0,1.65,0.05,0.09,1,1.03,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0,2.58,2.58,NA,NA,0,1.65,0.05,0.09,0.79,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0,3.03,3.03,NA,NA,0,1.65,0.05,0.09,0.95,0.28,0,0.06,0.06,0,0,NA,0,0.05,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,airvine,9,"c(936018.894197903, 1029342.0808642)",936018.8941979035,1029342.080864203
1014000509,NA,NA,NA,14000509,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,NA,Road unclassified,rough,R08826,Road Permit,00001271,CANADIAN FOREST PRODUCTS LTD.,ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,5998826,609918,139037994,360704379,1057.673298621764,400.431358.585806.637722.297130,400.431358.585806.637722.297130,MORR,"{1014000541,1024715937,1024715935,1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,NA,1,1,0.0587,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,NA,NA,NA,1.82,1.82,NA,NA,0,0,0,1.82,0,0,0,1.82,1.82,NA,NA,0,0,0,1.82,0,0,0,1.82,1.82,NA,NA,0,0,0,1.82,0,0,0,1.82,1.82,NA,NA,0,0,0,1.82,0,0,0,1.82,1.82,NA,NA,0,0,0,1.82,0,0,0,1.82,1.82,NA,NA,NA,0,0,1.82,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,Channel width 1.5 m downstream at FISS site.,mod,NA,NA,NA,NA,NA,airvine,7,"c(914072.988156594, 1014451.14159967)",914072.9881565938,1014451.141599666
1014001142,NA,NA,NA,14001142,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,Canyon Rd,Road resource demographic,loose,9946,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6016590,626688,139020981,360780581,487.51054989657246,400.431358.585806.190109.382131,400.431358.585806.190109.382131,MORR,"{1024715927,1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,"{1014000341,1014000342,1014000216,1014000276,1014000269,1014000272,1014000185,1014000917,1014000918,1014001456,1014001565}",3,7,0.0287,NA,POTENTIALLY ACCESSIBLE,NA,NA,NA,698.9784,12.56,8.54,27.88,27.92,3.81,2.63,1.92,1.51,2.24,0.23,0.22,3.41,1.06,21.58,10.5,2.21,0.69,0.19,0.03,0.27,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,6.94,27.88,18.67,3.45,1.86,1.92,1.43,1.86,0,0,3.12,0.79,21.58,10.5,NA,0.69,0.19,0.03,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,airvine,11,"c(931539.618499099, 1031539.45293518)",931539.6184990994,1031539.4529351834
1014000814,NA,NA,NA,14000814,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,Morice River Rd,Road resource demographic,loose,4656,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6018043,640027,139021023,360779008,985.0188607374489,400.431358.585806.159060,400.431358.585806.159060.096103,MORR,"{1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,NA,2,3,0.098,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,NA,NA,124.569,6.29,6,0,3.42,0.14,0,0.15,0.81,2.29,0.99,0.87,6.29,6,0,3.42,0.14,0,0.15,0.81,2.29,0.99,0.87,1.53,1.53,NA,NA,0,0,0,0,1.53,0,0,1.53,1.53,NA,NA,0,0,0,0,1.53,0,0,1.62,1.62,NA,NA,0,0,0,0,1.53,0.1,0,1.62,1.62,NA,NA,NA,0,0,0,1.53,0.1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,airvine,13,"c(944893.795921433, 1032428.67976922)",944893.795921433,1032428.6797692216
1014001177,NA,NA,NA,14001177,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,False Tagit Rd,Road resource demographic,loose,9946,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6010831,620026,139026034,360788079,5693.034128915095,400.431358.585806.457135,400.431358.585806.457135.448337,MORR,"{1014000677,1024715935,1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,"{1014000548,1014000547}",3,5,0.054,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,"{CT,DV,PL,RB}","{CT,LNC}",447.9463,11.06,8.37,29.03,19,2.4,0.56,3.8,2.53,1.61,0,0,9.23,7.06,25.53,17.11,1.88,0.56,3.8,1.22,1.61,0,0,9.09,6.55,29.03,18.14,2.24,0.56,3.8,1.97,0.36,0,0,7.82,5.8,25.53,16.25,1.72,0.56,3.8,1.22,0.36,0,0,11.06,8.37,29.03,19,2.4,0.56,3.8,2.53,1.61,0,0,9.23,7.06,25.53,17.11,NA,0.56,3.8,1.22,1.61,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small stream with cutthrout upstream.,low,NA,NA,NA,NA,NA,airvine,12,"c(924656.008864565, 1026051.76013186)",924656.0088645649,1026051.7601318567
1014000057,NA,NA,NA,14000057,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,NA,Road unclassified,rough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6021742,637521,139015938,360834206,830.8825658616345,400.431358.585806.131357.431650,400.431358.585806.131357.431650.058023,MORR,"{1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,"{1024740002,1024740001,1014000638}",3,11,0.0484,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,NA,NA,958.7546,17.72,14.94,18.16,12.86,2.48,0.7,5.17,6.42,0.98,1.69,0.1,0.07,0.07,0,0,0,0,0.07,0,0,0,0,13.62,10.84,18.16,12.86,2.48,0.4,4.35,5.7,0.69,0,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0,13.85,11.07,18.16,12.86,2.48,0.44,4.35,5.7,0.89,0,0,0.06,0.06,0,0,NA,0,0.07,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,airvine,16,"c(942553.538450099, 1036241.69327081)",942553.5384500993,1036241.6932708068
1014000805,NA,NA,NA,14000805,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,Morice River Rd,Road resource demographic,loose,4656,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6018241,640135,139020116,360690095,219.72331163979769,400.431358.585806.159060.096103,400.431358.585806.159060.096103,MORR,"{1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,{1014000285},1,1,0.1097,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,NA,NA,NA,3.99,3.8,0.47,0,0.19,0,0.5,0,0.79,0.75,0.58,0.63,0.63,0,0,0,0,0,0,0.63,0,0,1.42,1.23,0.47,0,0.19,0,0.5,0,0.74,0,0,0.62,0.62,0,0,0,0,0,0,0.63,0,0,1.48,1.29,0.47,0,0.19,0,0.5,0,0.79,0,0,0.63,0.63,0,0,NA,0,0,0,0.63,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,airvine,17,"c(945009.837549152, 1032622.52934363)",945009.8375491515,1032622.5293436267
1014000457,NA,NA,NA,14000457,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,NA,Road unclassified,rough,R07549,Road Permit,00001271,CANADIAN FOREST PRODUCTS LTD.,ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6018021,637495,139020320,360619724,1956.952326693083,400.431358.585806.173372,400.431358.585806.173372.411037,MORR,"{1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,"{1014000859,1014000651}",2,2,0.0326,NA,POTENTIALLY ACCESSIBLE,NA,NA,NA,66.7297,2.48,2.37,0,0.86,0.12,1.58,0.78,0,0,0,0,1.59,1.48,0,0.86,0.12,0.69,0.78,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,2.37,0,0.86,0.12,1.58,0.78,0,0,0,0,1.59,1.48,0,0.86,NA,0.69,0.78,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,airvine,20,"c(942369.690918547, 1032514.30770632)",942369.6909185473,1032514.307706324
1014000697,NA,NA,NA,14000697,MODELLED CROSSINGS,NA,CBS,NA,NA,POTENTIAL,NA,Chisholm FSR,Road resource demographic,loose,9946,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,NA,NA,NA,NA,NA,NA,"ROAD, RESOURCE/OTHER",9,6007645,620771,139029689,360783734,1912.185004335298,400.431358.585806.457135.052172,400.431358.585806.457135.052172,MORR,"{1024715935,1024715941,1024704552,1024703651,195295,197666,1024703645,1024703706,1024704485,1024703867,1024704484,1024709805,1024709761,1024710151,1024710028,1024710161,1024710076,3236,3235}",NA,{1014000731},1,1,0.0328,POTENTIALLY ACCESSIBLE,POTENTIALLY ACCESSIBLE,NA,NA,NA,NA,1.97,1.97,NA,NA,0,0,1.95,0,0.02,0,0,1.95,1.95,0,0,0,0,1.95,0,0,0,0,1.97,1.97,NA,NA,0,0,1.95,0,0.02,0,0,1.95,1.95,0,0,0,0,1.95,0,0,0,0,1.97,1.97,NA,NA,0,0,1.95,0,0.02,0,0,1.95,1.95,0,0,NA,0,1.95,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,093L.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small first order stream.  Unlikley to contain significant amounts of good habitat.,low,NA,NA,NA,NA,NA,airvine,18,"c(925263.423777159, 1022828.15570713)",925263.4237771591,1022828.1557071276
